Booking_ID,Day,Flight_Number,Departure_Time,Aircraft_Model,Passenger_Name,Seat_Class,Seat_Number
1008,월,KE2001,8:05,A330-300,한서연,Prestige,11C
1009,월,KE2001,8:05,A330-300,조도윤,Prestige,10B
1010,월,KE2001,8:05,A330-300,안지훈,Prestige,12B
1011,월,KE2001,8:05,A330-300,권서연,Prestige,12C
1012,월,KE2001,8:05,A330-300,최지훈,Prestige,12D
1013,월,KE2001,8:05,A330-300,정지유,Prestige,11E
1014,월,KE2001,8:05,A330-300,김민서,Prestige,9K
1015,월,KE2001,8:05,A330-300,임지우,Prestige,8C
1016,월,KE2001,8:05,A330-300,장민준,Prestige,9A
1017,월,KE2001,8:05,A330-300,오도윤,Prestige,13J
1018,월,KE2001,8:05,A330-300,이민서,Prestige,14D
1019,월,KE2001,8:05,A330-300,한채원,Prestige,10K
1020,월,KE2001,8:05,A330-300,윤민준,Prestige,13D
1021,월,KE2001,8:05,A330-300,한유준,Prestige,7B
1022,월,KE2001,8:05,A330-300,안하윤,Prestige,9C
1023,월,KE2001,8:05,A330-300,장유준,Prestige,8B
1024,월,KE2001,8:05,A330-300,박서연,Prestige,13H
1025,월,KE2001,8:05,A330-300,안채원,Prestige,7A
1026,월,KE2001,8:05,A330-300,권민준,Prestige,11K
1027,월,KE2001,8:05,A330-300,안유준,Prestige,14H
1028,월,KE2001,8:05,A330-300,권현우,Prestige,12H
1029,월,KE2001,8:05,A330-300,권민준,Prestige,7C
1030,월,KE2001,8:05,A330-300,박준우,Prestige,14J
1031,월,KE2001,8:05,A330-300,신유준,Prestige,9B
1032,월,KE2001,8:05,A330-300,임현우,Prestige,8A
1033,월,KE2001,8:05,A330-300,정준우,Prestige,9H
1034,월,KE2001,8:05,A330-300,서하윤,Prestige,10E
1035,월,KE2001,8:05,A330-300,안윤우,Prestige,13A
1036,월,KE2001,8:05,A330-300,안수아,Prestige,10D
1037,월,KE2001,8:05,A330-300,조지훈,Prestige,10C
1038,월,KE2001,8:05,A330-300,신채원,Prestige,10A
1039,월,KE2001,8:05,A330-300,임민서,Prestige,13B
1040,월,KE2001,8:05,A330-300,조준우,Prestige,10H
1041,월,KE2001,8:05,A330-300,황서윤,Prestige,11J
1042,월,KE2001,8:05,A330-300,황하윤,Prestige,14K
1043,월,KE2001,8:05,A330-300,정민서,Prestige,11H
1044,월,KE2001,8:05,A330-300,신준우,Prestige,8D
1045,월,KE2001,8:05,A330-300,강지우,Prestige,8K
1046,월,KE2001,8:05,A330-300,신채원,Prestige,8E
1047,월,KE2001,8:05,A330-300,황지우,Prestige,9E
1048,월,KE2001,8:05,A330-300,안준우,Prestige,11D
1049,월,KE2001,8:05,A330-300,조하윤,Economy,52A
1050,월,KE2001,8:05,A330-300,오현우,Economy,45K
1051,월,KE2001,8:05,A330-300,조준우,Economy,53J
1052,월,KE2001,8:05,A330-300,서지훈,Economy,43E
1053,월,KE2001,8:05,A330-300,조지유,Economy,47H
1054,월,KE2001,8:05,A330-300,임예준,Economy,32E
1055,월,KE2001,8:05,A330-300,박현우,Economy,44H
1056,월,KE2001,8:05,A330-300,윤도윤,Economy,54J
1057,월,KE2001,8:05,A330-300,황윤우,Economy,21E
1058,월,KE2001,8:05,A330-300,장민서,Economy,40H
1059,월,KE2001,8:05,A330-300,박하윤,Economy,52H
1060,월,KE2001,8:05,A330-300,이민준,Economy,26A
1061,월,KE2001,8:05,A330-300,최현우,Economy,27J
1062,월,KE2001,8:05,A330-300,윤지유,Economy,37D
1063,월,KE2001,8:05,A330-300,장서윤,Economy,29B
1064,월,KE2001,8:05,A330-300,조민준,Economy,29C
1065,월,KE2001,8:05,A330-300,임윤우,Economy,54H
1066,월,KE2001,8:05,A330-300,조수아,Economy,36E
1067,월,KE2001,8:05,A330-300,오서연,Economy,27D
1068,월,KE2001,8:05,A330-300,권하윤,Economy,46A
1069,월,KE2001,8:05,A330-300,신채원,Economy,22J
1070,월,KE2001,8:05,A330-300,조하윤,Economy,53K
1071,월,KE2001,8:05,A330-300,김윤우,Economy,40E
1072,월,KE2001,8:05,A330-300,조현우,Economy,42C
1073,월,KE2001,8:05,A330-300,한예준,Economy,38K
1074,월,KE2001,8:05,A330-300,오지훈,Economy,46C
1075,월,KE2001,8:05,A330-300,권지우,Economy,38E
1076,월,KE2001,8:05,A330-300,윤서윤,Economy,28B
1077,월,KE2001,8:05,A330-300,권지훈,Economy,42D
1078,월,KE2001,8:05,A330-300,임서연,Economy,25K
1079,월,KE2001,8:05,A330-300,정유준,Economy,29E
1080,월,KE2001,8:05,A330-300,정민준,Economy,54A
1081,월,KE2001,8:05,A330-300,황지유,Economy,33D
1082,월,KE2001,8:05,A330-300,조유준,Economy,36K
1083,월,KE2001,8:05,A330-300,오서연,Economy,45C
1084,월,KE2001,8:05,A330-300,윤서윤,Economy,49B
1085,월,KE2001,8:05,A330-300,권예준,Economy,22C
1086,월,KE2001,8:05,A330-300,정서연,Economy,31C
1087,월,KE2001,8:05,A330-300,정하윤,Economy,41E
1088,월,KE2001,8:05,A330-300,신현우,Economy,31E
1089,월,KE2001,8:05,A330-300,안민서,Economy,42J
1090,월,KE2001,8:05,A330-300,안현우,Economy,21D
